,origin_fips_code,origin_county_name,origin_state,origin_population,monthlydate,year,month,dest_fips_code,dest_county_name,dest_state,dest_loc_id,dest_loc_name,dest_loc_type,distance_origintodest,distance_type,dest_loc_numfacs,dest_asp,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
423864,48001,Anderson County (TX),TX,7746.0,752,2022,9,20173,Sedgwick County (KS),KS,48620,"Wichita, KS",CBSA,488.26477,Travel (HERE API),2,2819636.0,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423865,48001,Anderson County (TX),TX,7746.0,753,2022,10,20173,Sedgwick County (KS),KS,48620,"Wichita, KS",CBSA,488.26477,Travel (HERE API),2,2817515.0,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423866,48001,Anderson County (TX),TX,7746.0,754,2022,11,20173,Sedgwick County (KS),KS,48620,"Wichita, KS",CBSA,488.26477,Travel (HERE API),2,2815036.5,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423867,48001,Anderson County (TX),TX,7746.0,755,2022,12,20173,Sedgwick County (KS),KS,48620,"Wichita, KS",CBSA,488.26477,Travel (HERE API),2,2815036.5,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423868,48001,Anderson County (TX),TX,7746.0,750,2022,7,22017,Caddo Parish (LA),LA,43340,"Shreveport-Bossier City, LA",CBSA,152.68582,Travel (HERE API),1,5779161.0,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423869,48001,Anderson County (TX),TX,7746.0,751,2022,8,47157,Shelby County (TN),TN,32820,"Memphis, TN-MS-AR",CBSA,468.90161,Travel (HERE API),1,3746532.0,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423959,48001,Anderson County (TX),TX,7746.0,744,2022,1,48113,Dallas County (TX),TX,19100,"Dallas-Fort Worth-Arlington, TX",CBSA,109.00715,Travel (HERE API),6,336440.66,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423960,48001,Anderson County (TX),TX,7746.0,745,2022,2,48113,Dallas County (TX),TX,19100,"Dallas-Fort Worth-Arlington, TX",CBSA,109.00715,Travel (HERE API),6,336440.66,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423961,48001,Anderson County (TX),TX,7746.0,746,2022,3,48113,Dallas County (TX),TX,19100,"Dallas-Fort Worth-Arlington, TX",CBSA,109.00715,Travel (HERE API),6,336440.66,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423962,48001,Anderson County (TX),TX,7746.0,747,2022,4,48113,Dallas County (TX),TX,19100,"Dallas-Fort Worth-Arlington, TX",CBSA,109.00715,Travel (HERE API),6,336440.66,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423963,48001,Anderson County (TX),TX,7746.0,748,2022,5,48113,Dallas County (TX),TX,19100,"Dallas-Fort Worth-Arlington, TX",CBSA,109.00715,Travel (HERE API),6,336440.66,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
423964,48001,Anderson County (TX),TX,7746.0,749,2022,6,48113,Dallas County (TX),TX,19100,"Dallas-Fort Worth-Arlington, TX",CBSA,109.00715,Travel (HERE API),6,362423.16,Anderson,Anderson,Anderson County,48001.0,TX,Texas,31.8133,-95.6525,58133.0
424130,48003,Andrews County (TX),TX,3853.0,744,2022,1,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),2,44277.0,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424131,48003,Andrews County (TX),TX,3853.0,745,2022,2,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),2,44277.0,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424132,48003,Andrews County (TX),TX,3853.0,746,2022,3,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),2,44277.0,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424133,48003,Andrews County (TX),TX,3853.0,747,2022,4,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),2,44277.0,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424134,48003,Andrews County (TX),TX,3853.0,748,2022,5,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),2,44277.0,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424135,48003,Andrews County (TX),TX,3853.0,749,2022,6,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),2,44277.0,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424136,48003,Andrews County (TX),TX,3853.0,750,2022,7,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),2,229739.0,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424137,48003,Andrews County (TX),TX,3853.0,751,2022,8,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),3,488847.66,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424138,48003,Andrews County (TX),TX,3853.0,752,2022,9,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),3,488847.66,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424139,48003,Andrews County (TX),TX,3853.0,753,2022,10,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),3,572682.69,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424140,48003,Andrews County (TX),TX,3853.0,754,2022,11,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),4,365921.25,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424141,48003,Andrews County (TX),TX,3853.0,755,2022,12,35013,Dona Ana County (NM),NM,29740,"Las Cruces, NM",CBSA,309.82501,Travel (HERE API),4,365921.25,Andrews,Andrews,Andrews County,48003.0,TX,Texas,32.305,-102.6377,18184.0
424200,48005,Angelina County (TX),TX,16544.0,752,2022,9,20173,Sedgwick County (KS),KS,48620,"Wichita, KS",CBSA,547.341,Travel (HERE API),2,2819636.0,Angelina,Angelina,Angelina County,48005.0,TX,Texas,31.2548,-94.6119,86584.0
424201,48005,Angelina County (TX),TX,16544.0,753,2022,10,20173,Sedgwick County (KS),KS,48620,"Wichita, KS",CBSA,547.341,Travel (HERE API),2,2817515.0,Angelina,Angelina,Angelina County,48005.0,TX,Texas,31.2548,-94.6119,86584.0
424202,48005,Angelina County (TX),TX,16544.0,754,2022,11,20173,Sedgwick County (KS),KS,48620,"Wichita, KS",CBSA,547.341,Travel (HERE API),2,2815036.5,Angelina,Angelina,Angelina County,48005.0,TX,Texas,31.2548,-94.6119,86584.0
424203,48005,Angelina County (TX),TX,16544.0,755,2022,12,20173,Sedgwick County (KS),KS,48620,"Wichita, KS",CBSA,547.341,Travel (HERE API),2,2815036.5,Angelina,Angelina,Angelina County,48005.0,TX,Texas,31.2548,-94.6119,86584.0
424204,48005,Angelina County (TX),TX,16544.0,750,2022,7,22017,Caddo Parish (LA),LA,43340,"Shreveport-Bossier City, LA",CBSA,119.69411,Travel (HERE API),1,5779161.0,Angelina,Angelina,Angelina County,48005.0,TX,Texas,31.2548,-94.6119,86584.0
424205,48005,Angelina County (TX),TX,16544.0,751,2022,8,47157,Shelby County (TN),TN,32820,"Memphis, TN-MS-AR",CBSA,456.8172,Travel (HERE API),1,3746532.0,Angelina,Angelina,Angelina County,48005.0,TX,Texas,31.2548,-94.6119,86584.0
424362,48005,Angelina County (TX),TX,16544.0,744,2022,1,48201,Harris County (TX),TX,26420,"Houston-The Woodlands-Sugar Land, TX",CBSA,111.0788,Travel (HERE API),7,251845.42,Angelina,Angelina,Angelina County,48005.0,TX,Texas,31.2548,-94.6119,86584.0
424363,48005,Angelina County (TX),TX,16544.0,745,2022,2,48201,Harris County (TX),TX,26420,"Houston-The Woodlands-Sugar Land, TX",CBSA,111.0788,Travel (HERE API),7,251845.42,Angelina,Angelina,Angelina County,48005.0,TX,Texas,31.2548,-94.6119,86584.0
424364,48005,Angelina County (TX),TX,16544.0,746,2022,3,48201,Harris County (TX),TX,26420,"Houston-The Woodlands-Sugar Land, TX",CBSA,111.0788,Travel (HERE API),7,251845.42,Angelina,Angelina,Angelina County,48005.0,TX,Texas,31.2548,-94.6119,86584.0
